symbol,fundingTime,fundingRate,markPrice
BTCUSDT,1665475200027,0.00010000,
BTCUSDT,1665504000000,0.00010000,
BTCUSDT,1665532800014,0.00010000,
BTCUSDT,1665561600000,0.00010000,
BTCUSDT,1665590400000,0.00010000,
BTCUSDT,1665619200013,0.00007466,
BTCUSDT,1665648000016,0.00010000,
BTCUSDT,1665676800009,0.00003936,
BTCUSDT,1665705600020,0.00003235,
BTCUSDT,1665734400000,0.00010000,
BTCUSDT,1665763200009,0.00008395,
BTCUSDT,1665792000001,0.00004317,
BTCUSDT,1665820800005,0.00003772,
BTCUSDT,1665849600004,0.00004563,
BTCUSDT,1665878400012,0.00002735,
BTCUSDT,1665907200000,0.00000461,
BTCUSDT,1665936000010,0.00003394,
BTCUSDT,1665964800012,0.00000331,
BTCUSDT,1665993600010,0.00004840,
BTCUSDT,1666022400017,0.00006458,
BTCUSDT,1666051200010,0.00010000,
BTCUSDT,1666080000008,0.00010000,
BTCUSDT,1666108800000,0.00010000,
BTCUSDT,1666137600007,0.00007598,
BTCUSDT,1666166400022,0.00010000,
BTCUSDT,1666195200016,0.00010000,
BTCUSDT,1666224000000,0.00010000,
BTCUSDT,1666252800013,0.00006021,
BTCUSDT,1666281600000,0.00002095,
BTCUSDT,1666310400005,0.00004708,
BTCUSDT,1666339200018,0.00004483,
BTCUSDT,1666368000000,-0.00000890,
BTCUSDT,1666396800000,0.00003721,
BTCUSDT,1666425600015,0.00008360,
BTCUSDT,1666454400000,-0.00000319,
BTCUSDT,1666483200025,0.00004152,
BTCUSDT,1666512000000,0.00001171,
BTCUSDT,1666540800004,0.00005174,
BTCUSDT,1666569600009,0.00010000,
BTCUSDT,1666598400012,0.00010000,
BTCUSDT,1666627200002,0.00002328,
BTCUSDT,1666656000013,0.00004327,
BTCUSDT,1666684800013,0.00009019,
BTCUSDT,1666713600000,-0.00000166,
BTCUSDT,1666742400006,0.00002243,
BTCUSDT,1666771200013,0.00005665,
BTCUSDT,1666800000000,0.00006122,
BTCUSDT,1666828800009,0.00000013,
BTCUSDT,1666857600006,-0.00002276,
BTCUSDT,1666886400009,0.00001376,
BTCUSDT,1666915200000,-0.00001228,
BTCUSDT,1666944000000,0.00003541,
BTCUSDT,1666972800007,-0.00002629,
BTCUSDT,1667001600000,0.00002484,
BTCUSDT,1667030400003,0.00004755,
BTCUSDT,1667059200010,0.00004205,
BTCUSDT,1667088000000,-0.00002515,
BTCUSDT,1667116800013,0.00003212,
BTCUSDT,1667145600009,0.00005135,
BTCUSDT,1667174400012,0.00001504,
BTCUSDT,1667203200000,0.00003842,
BTCUSDT,1667232000010,-0.00000434,
BTCUSDT,1667260800000,0.00000722,
BTCUSDT,1667289600000,-0.00001088,
BTCUSDT,1667318400000,0.00001302,
BTCUSDT,1667347200000,0.00004787,
BTCUSDT,1667376000000,0.00001203,
BTCUSDT,1667404800019,0.00006046,
BTCUSDT,1667433600011,0.00002680,
BTCUSDT,1667462400016,0.00000440,
BTCUSDT,1667491200005,0.00006940,
BTCUSDT,1667520000000,0.00004429,
BTCUSDT,1667548800004,0.00001148,
BTCUSDT,1667577600020,0.00006899,
BTCUSDT,1667606400009,0.00004409,
BTCUSDT,1667635200007,0.00004541,
BTCUSDT,1667664000018,0.00010000,
BTCUSDT,1667692800009,0.00006491,
BTCUSDT,1667721600000,0.00009732,
BTCUSDT,1667750400010,0.00006866,
BTCUSDT,1667779200012,0.00007813,
BTCUSDT,1667808000014,0.00010000,
BTCUSDT,1667836800006,0.00010000,
BTCUSDT,1667865600000,0.00006515,
BTCUSDT,1667894400001,-0.00000788,
BTCUSDT,1667923200005,0.00009446,
BTCUSDT,1667952000000,-0.00013884,
BTCUSDT,1667980800013,0.00007305,
BTCUSDT,1668009600004,-0.00032976,
BTCUSDT,1668038400006,-0.00119172,
BTCUSDT,1668067200000,-0.00111953,
BTCUSDT,1668096000015,-0.00023833,
BTCUSDT,1668124800000,-0.00019452,
