symbol,fundingTime,fundingRate,markPrice
ETHUSDT,1665475200027,0.00003552,
ETHUSDT,1665504000000,0.00004405,
ETHUSDT,1665532800014,0.00008850,
ETHUSDT,1665561600000,-0.00001598,
ETHUSDT,1665590400000,0.00000718,
ETHUSDT,1665619200013,-0.00018211,
ETHUSDT,1665648000016,0.00008180,
ETHUSDT,1665676800009,-0.00010154,
ETHUSDT,1665705600020,0.00000200,
ETHUSDT,1665734400000,0.00010000,
ETHUSDT,1665763200009,0.00010000,
ETHUSDT,1665792000001,0.00005950,
ETHUSDT,1665820800005,-0.00000548,
ETHUSDT,1665849600004,-0.00000801,
ETHUSDT,1665878400012,0.00000273,
ETHUSDT,1665907200000,-0.00001934,
ETHUSDT,1665936000010,0.00001261,
ETHUSDT,1665964800012,0.00000750,
ETHUSDT,1665993600010,0.00003595,
ETHUSDT,1666022400017,0.00005610,
ETHUSDT,1666051200010,0.00006430,
ETHUSDT,1666080000008,0.00005818,
ETHUSDT,1666108800000,0.00008200,
ETHUSDT,1666137600007,0.00006911,
ETHUSDT,1666166400022,0.00010000,
ETHUSDT,1666195200016,0.00003885,
ETHUSDT,1666224000000,0.00001115,
ETHUSDT,1666252800013,0.00006032,
ETHUSDT,1666281600000,-0.00005194,
ETHUSDT,1666310400005,0.00010000,
ETHUSDT,1666339200018,0.00001939,
ETHUSDT,1666368000000,0.00002595,
ETHUSDT,1666396800000,0.00002568,
ETHUSDT,1666425600015,-0.00000796,
ETHUSDT,1666454400000,-0.00003726,
ETHUSDT,1666483200025,0.00001025,
ETHUSDT,1666512000000,0.00002352,
ETHUSDT,1666540800004,0.00010000,
ETHUSDT,1666569600009,0.00009274,
ETHUSDT,1666598400012,0.00010000,
ETHUSDT,1666627200002,-0.00002685,
ETHUSDT,1666656000013,-0.00005643,
ETHUSDT,1666684800013,0.00003537,
ETHUSDT,1666713600000,0.00001973,
ETHUSDT,1666742400006,0.00010000,
ETHUSDT,1666771200013,-0.00002452,
ETHUSDT,1666800000000,0.00010000,
ETHUSDT,1666828800009,0.00008299,
ETHUSDT,1666857600006,0.00005005,
ETHUSDT,1666886400009,-0.00003370,
ETHUSDT,1666915200000,0.00002272,
ETHUSDT,1666944000000,0.00004042,
ETHUSDT,1666972800007,0.00001870,
ETHUSDT,1667001600000,0.00006207,
ETHUSDT,1667030400003,0.00008203,
ETHUSDT,1667059200010,0.00010000,
ETHUSDT,1667088000000,0.00007735,
ETHUSDT,1667116800013,0.00009296,
ETHUSDT,1667145600009,0.00010000,
ETHUSDT,1667174400012,0.00006308,
ETHUSDT,1667203200000,0.00010000,
ETHUSDT,1667232000010,-0.00000288,
ETHUSDT,1667260800000,0.00000795,
ETHUSDT,1667289600000,-0.00005701,
ETHUSDT,1667318400000,0.00001321,
ETHUSDT,1667347200000,0.00007678,
ETHUSDT,1667376000000,0.00002913,
ETHUSDT,1667404800019,0.00005813,
ETHUSDT,1667433600011,-0.00008892,
ETHUSDT,1667462400016,-0.00007732,
ETHUSDT,1667491200005,0.00000255,
ETHUSDT,1667520000000,0.00001398,
ETHUSDT,1667548800004,0.00009293,
ETHUSDT,1667577600020,0.00010000,
ETHUSDT,1667606400009,0.00009190,
ETHUSDT,1667635200007,0.00001474,
ETHUSDT,1667664000018,0.00005826,
ETHUSDT,1667692800009,0.00008014,
ETHUSDT,1667721600000,0.00010000,
ETHUSDT,1667750400010,0.00004026,
ETHUSDT,1667779200012,0.00002594,
ETHUSDT,1667808000014,-0.00000272,
ETHUSDT,1667836800006,0.00010000,
ETHUSDT,1667865600000,-0.00005728,
ETHUSDT,1667894400001,-0.00011539,
ETHUSDT,1667923200005,0.00007883,
ETHUSDT,1667952000000,-0.00038496,
ETHUSDT,1667980800013,-0.00012169,
ETHUSDT,1668009600004,-0.00054682,
ETHUSDT,1668038400006,-0.00060149,
ETHUSDT,1668067200000,-0.00054300,
ETHUSDT,1668096000015,-0.00015464,
ETHUSDT,1668124800000,-0.00016788,
ETHUSDT,1668153600015,-0.00013634,
ETHUSDT,1668182400027,0.00002873,
ETHUSDT,1668211200007,0.00009985,
ETHUSDT,1668240000016,0.00004863,
ETHUSDT,1668268800000,0.00009984,
ETHUSDT,1668297600004,-0.00000928,
