Open time,Open,High,Low,Close,Volume,Close time,Quote volume,Number of trades,Taker base volume,Taker quote volume
2024-11-23 04:00:00+00:00,257.2,264.0,256.9,262.11,598828.755,2024-11-23 04:59:59.999000+00:00,156456149.01704,241393,332094.972,86722689.76868
2024-11-23 05:00:00+00:00,262.1,263.49,258.13,259.9,210183.215,2024-11-23 05:59:59.999000+00:00,54755123.59733,140449,96537.545,25150733.58448
2024-11-23 06:00:00+00:00,259.89,260.3,258.54,259.21,138149.104,2024-11-23 06:59:59.999000+00:00,35875442.66365,73920,76907.017,19972523.62293
2024-11-23 07:00:00+00:00,259.21,260.48,257.42,258.26,118411.343,2024-11-23 07:59:59.999000+00:00,30650648.46756,74830,54614.208,14139372.37426
2024-11-23 08:00:00+00:00,258.27,259.46,257.5,257.98,132120.406,2024-11-23 08:59:59.999000+00:00,34144250.6091,93124,64979.693,16796164.36581
2024-11-23 09:00:00+00:00,257.97,259.07,257.42,258.16,90883.937,2024-11-23 09:59:59.999000+00:00,23458712.52018,68263,45833.823,11831627.50384
2024-11-23 10:00:00+00:00,258.16,258.83,256.5,256.76,141620.273,2024-11-23 10:59:59.999000+00:00,36478236.68933,86307,61619.528,15873854.14174
2024-11-23 11:00:00+00:00,256.77,257.36,255.8,256.14,117034.286,2024-11-23 11:59:59.999000+00:00,30037076.89239,64988,51740.056,13280734.70713
2024-11-23 12:00:00+00:00,256.13,258.3,255.91,257.55,145862.118,2024-11-23 12:59:59.999000+00:00,37524645.03044,82892,83712.565,21535968.97116
2024-11-23 13:00:00+00:00,257.56,260.18,257.54,259.79,206550.536,2024-11-23 13:59:59.999000+00:00,53533886.83548,87045,109286.297,28307900.95436
2024-11-23 14:00:00+00:00,259.79,263.37,258.7,262.83,406475.812,2024-11-23 14:59:59.999000+00:00,106303988.15778,181738,206867.799,54081754.15076
2024-11-23 15:00:00+00:00,262.82,263.6,259.52,259.71,304944.19,2024-11-23 15:59:59.999000+00:00,79826536.50821,156649,151792.178,39739588.56468
2024-11-23 16:00:00+00:00,259.71,260.3,254.72,256.64,503432.195,2024-11-23 16:59:59.999000+00:00,129321106.28192,201079,233285.94,59955102.26375
2024-11-23 17:00:00+00:00,256.65,258.16,254.76,257.21,313033.624,2024-11-23 17:59:59.999000+00:00,80236986.07058,162268,155648.068,39897631.461
2024-11-23 18:00:00+00:00,257.2,257.21,255.35,256.14,110830.005,2024-11-23 18:59:59.999000+00:00,28388365.65431,84056,44722.081,11454082.32724
2024-11-23 19:00:00+00:00,256.15,256.72,254.15,254.39,130667.538,2024-11-23 19:59:59.999000+00:00,33341139.65223,95616,52040.526,13276178.44598
2024-11-23 20:00:00+00:00,254.38,255.49,252.69,255.46,186507.007,2024-11-23 20:59:59.999000+00:00,47382060.19819,141575,85174.508,21648164.62083
2024-11-23 21:00:00+00:00,255.47,255.76,254.21,255.33,129442.123,2024-11-23 21:59:59.999000+00:00,33029406.35639,79307,65865.794,16806849.82683
2024-11-23 22:00:00+00:00,255.34,256.06,254.5,254.95,82084.754,2024-11-23 22:59:59.999000+00:00,20958057.3606,49491,40287.061,10285841.88326
2024-11-23 23:00:00+00:00,254.96,255.32,252.9,254.89,97048.824,2024-11-23 23:59:59.999000+00:00,24670890.36044,72350,48221.68,12259331.6849
2024-11-24 00:00:00+00:00,254.9,258.38,254.49,258.15,134763.643,2024-11-24 00:59:59.999000+00:00,34595231.2916,101704,74907.847,19228154.83369
2024-11-24 01:00:00+00:00,258.15,259.78,257.88,258.67,159967.898,2024-11-24 01:59:59.999000+00:00,41403890.08449,87639,92866.775,24038505.34005
2024-11-24 02:00:00+00:00,258.68,259.52,258.16,258.41,93401.069,2024-11-24 02:59:59.999000+00:00,24169574.70667,58384,42865.252,11093834.01043
2024-11-24 03:00:00+00:00,258.41,259.15,257.32,258.57,99729.758,2024-11-24 03:59:59.999000+00:00,25752337.2513,65206,50801.008,13119440.8073
2024-11-24 04:00:00+00:00,258.58,259.2,255.64,256.86,86145.135,2024-11-24 04:59:59.999000+00:00,22152615.587,76095,37749.666,9706979.82654
2024-11-24 05:00:00+00:00,256.86,257.25,254.06,255.15,108786.639,2024-11-24 05:59:59.999000+00:00,27795591.0288,74789,43541.612,11133211.70979
2024-11-24 06:00:00+00:00,255.16,256.48,254.16,256.15,81863.774,2024-11-24 06:59:59.999000+00:00,20892850.74326,68365,39258.881,10020590.5338
2024-11-24 07:00:00+00:00,256.15,256.7,255.47,256.63,48906.573,2024-11-24 07:59:59.999000+00:00,12524279.62712,43640,24936.365,6386943.67544
2024-11-24 08:00:00+00:00,256.63,256.75,253.85,254.01,105872.896,2024-11-24 08:59:59.999000+00:00,27017519.01269,68925,41752.41,10658510.92683
2024-11-24 09:00:00+00:00,254.02,255.2,253.0,254.4,122356.966,2024-11-24 09:59:59.999000+00:00,31076080.19333,76029,55992.733,14221825.59643
2024-11-24 10:00:00+00:00,254.39,254.57,248.55,251.95,225043.566,2024-11-24 10:59:59.999000+00:00,56754409.09815,100182,86617.537,21866298.89439
2024-11-24 11:00:00+00:00,251.95,252.3,248.0,248.39,306684.763,2024-11-24 11:59:59.999000+00:00,76566123.33969,214059,142193.287,35507345.56623
2024-11-24 12:00:00+00:00,248.39,250.21,240.93,244.81,454853.952,2024-11-24 12:59:59.999000+00:00,111851168.98418,228366,183017.019,45010360.72388
2024-11-24 13:00:00+00:00,244.82,249.01,243.33,247.64,283846.866,2024-11-24 13:59:59.999000+00:00,70015684.13497,203986,142131.304,35089057.23417
2024-11-24 14:00:00+00:00,247.64,247.81,244.3,247.31,197639.647,2024-11-24 14:59:59.999000+00:00,48666480.91069,194298,95963.554,23633103.66144
2024-11-24 15:00:00+00:00,247.31,247.69,244.03,244.17,200980.992,2024-11-24 15:59:59.999000+00:00,49389421.71386,178319,80733.869,19854168.59614
2024-11-24 16:00:00+00:00,244.18,248.65,243.66,246.84,193377.329,2024-11-24 16:59:59.999000+00:00,47651417.15013,149161,105586.71,26030849.26311
2024-11-24 17:00:00+00:00,246.84,248.09,245.37,247.55,103150.381,2024-11-24 17:59:59.999000+00:00,25442935.2816,111976,55034.36,13577075.99359
