Open time,Open,High,Low,Close,Volume,Close time,Quote volume,Number of trades,Taker base volume,Taker quote volume
2024-11-23 04:00:00+00:00,3345.51,3356.06,3326.89,3353.87,25242.0246,2024-11-23 04:59:59.999000+00:00,84400116.066892,276042,12723.4122,42541464.20782
2024-11-23 05:00:00+00:00,3353.86,3361.71,3329.1,3348.75,15417.865,2024-11-23 05:59:59.999000+00:00,51595750.226755,199956,7859.9326,26307292.629426
2024-11-23 06:00:00+00:00,3348.75,3351.8,3341.7,3343.72,11618.1029,2024-11-23 06:59:59.999000+00:00,38887660.635318,152748,5847.6803,19573142.260579
2024-11-23 07:00:00+00:00,3343.71,3351.45,3335.2,3341.34,15167.3434,2024-11-23 07:59:59.999000+00:00,50722445.604795,166112,7407.9093,24772382.50269
2024-11-23 08:00:00+00:00,3341.34,3402.98,3335.16,3369.27,55944.1373,2024-11-23 08:59:59.999000+00:00,188760834.268685,381727,29488.0087,99523196.126883
2024-11-23 09:00:00+00:00,3369.28,3373.82,3342.63,3359.87,19664.5283,2024-11-23 09:59:59.999000+00:00,66102833.939763,281467,9907.3655,33308403.424859
2024-11-23 10:00:00+00:00,3359.87,3367.4,3342.6,3348.27,18185.3677,2024-11-23 10:59:59.999000+00:00,61003750.157551,209299,8317.6957,27905678.851786
2024-11-23 11:00:00+00:00,3348.26,3363.89,3347.0,3354.65,11484.9866,2024-11-23 11:59:59.999000+00:00,38555422.25064,141035,6379.2872,21414945.258338
2024-11-23 12:00:00+00:00,3354.65,3428.0,3349.68,3399.82,56873.1526,2024-11-23 12:59:59.999000+00:00,193244778.106821,377351,31929.0553,108443231.16965
2024-11-23 13:00:00+00:00,3399.82,3444.47,3392.01,3435.03,55172.6575,2024-11-23 13:59:59.999000+00:00,188857824.531115,399960,33519.7891,114758230.639104
2024-11-23 14:00:00+00:00,3435.02,3497.51,3426.29,3472.2,77400.4418,2024-11-23 14:59:59.999000+00:00,268639979.18652,636740,42592.1482,147814419.919116
2024-11-23 15:00:00+00:00,3472.19,3480.42,3444.53,3460.33,40079.1527,2024-11-23 15:59:59.999000+00:00,138783192.475231,340334,18711.3895,64805763.631739
2024-11-23 16:00:00+00:00,3460.34,3470.22,3377.0,3413.14,83239.0688,2024-11-23 16:59:59.999000+00:00,284325338.384253,614705,40100.347,136992479.451838
2024-11-23 17:00:00+00:00,3413.13,3435.19,3389.44,3424.67,37633.4777,2024-11-23 17:59:59.999000+00:00,128531656.376347,392725,16695.7067,57028908.646531
2024-11-23 18:00:00+00:00,3424.67,3431.11,3401.01,3424.18,16507.87,2024-11-23 18:59:59.999000+00:00,56435143.889013,221829,8429.1526,28818678.56348
2024-11-23 19:00:00+00:00,3424.18,3433.0,3400.77,3407.83,12756.469,2024-11-23 19:59:59.999000+00:00,43577743.025911,202339,6340.2755,21660535.403979
2024-11-23 20:00:00+00:00,3407.82,3408.73,3379.2,3405.1,21240.0642,2024-11-23 20:59:59.999000+00:00,72109435.668754,333705,10297.1138,34962387.652965
2024-11-23 21:00:00+00:00,3405.11,3427.73,3401.78,3417.24,15728.263,2024-11-23 21:59:59.999000+00:00,53750582.61618,184661,8938.7822,30545997.144412
2024-11-23 22:00:00+00:00,3417.24,3423.48,3393.0,3405.87,14222.6376,2024-11-23 22:59:59.999000+00:00,48471044.909704,109678,6914.3499,23568293.042486
2024-11-23 23:00:00+00:00,3405.85,3406.96,3382.0,3393.91,12180.6396,2024-11-23 23:59:59.999000+00:00,41338451.43609,144383,5346.2598,18144183.674706
2024-11-24 00:00:00+00:00,3393.91,3425.9,3389.03,3417.5,16380.3334,2024-11-24 00:59:59.999000+00:00,55908553.42387,236804,8999.183,30715470.371577
2024-11-24 01:00:00+00:00,3417.49,3436.62,3414.99,3433.38,19682.1357,2024-11-24 01:59:59.999000+00:00,67401219.040248,166218,9765.2568,33444964.732972
2024-11-24 02:00:00+00:00,3433.38,3450.0,3428.68,3430.39,15560.8673,2024-11-24 02:59:59.999000+00:00,53523247.4186,155533,8022.484,27600565.053198
2024-11-24 03:00:00+00:00,3430.39,3432.6,3418.15,3427.0,11318.5956,2024-11-24 03:59:59.999000+00:00,38770826.339465,130138,5520.3891,18908901.481589
2024-11-24 04:00:00+00:00,3427.0,3431.99,3399.69,3413.45,15349.3518,2024-11-24 04:59:59.999000+00:00,52399387.877957,183770,7477.8994,25530977.065585
2024-11-24 05:00:00+00:00,3413.45,3421.22,3398.12,3413.61,14343.7254,2024-11-24 05:59:59.999000+00:00,48925002.133741,161957,8035.2327,27415001.323224
2024-11-24 06:00:00+00:00,3413.6,3430.0,3401.17,3423.0,10659.1772,2024-11-24 06:59:59.999000+00:00,36406059.824958,145075,5595.3739,19108716.333298
2024-11-24 07:00:00+00:00,3423.01,3427.25,3409.46,3422.51,9796.4219,2024-11-24 07:59:59.999000+00:00,33497588.049644,122426,5037.7308,17224481.980909
2024-11-24 08:00:00+00:00,3422.51,3428.35,3388.7,3394.0,20034.8766,2024-11-24 08:59:59.999000+00:00,68309712.024699,175251,8462.6439,28860688.399154
2024-11-24 09:00:00+00:00,3394.0,3405.9,3388.01,3403.09,12710.0708,2024-11-24 09:59:59.999000+00:00,43183053.694386,167435,6030.2432,20490220.763946
2024-11-24 10:00:00+00:00,3403.09,3403.91,3360.01,3374.54,20443.3577,2024-11-24 10:59:59.999000+00:00,69142951.833926,219432,8591.5325,29047627.153404
2024-11-24 11:00:00+00:00,3374.54,3379.6,3339.11,3344.22,46582.037,2024-11-24 11:59:59.999000+00:00,156326647.056231,454485,19004.0311,63775849.825519
2024-11-24 12:00:00+00:00,3344.22,3357.32,3281.4,3315.0,59235.8848,2024-11-24 12:59:59.999000+00:00,196488869.517558,604633,26864.6533,89112932.926183
2024-11-24 13:00:00+00:00,3314.99,3340.07,3305.0,3325.0,27591.4783,2024-11-24 13:59:59.999000+00:00,91804497.447541,401558,13393.4902,44561957.421147
2024-11-24 14:00:00+00:00,3325.01,3332.73,3284.32,3325.99,35051.1827,2024-11-24 14:59:59.999000+00:00,115922489.66358,485616,17276.4861,57156747.468671
2024-11-24 15:00:00+00:00,3325.99,3327.75,3291.85,3294.39,25658.5876,2024-11-24 15:59:59.999000+00:00,84846858.612908,388808,11016.0708,36432035.2766
2024-11-24 16:00:00+00:00,3294.39,3333.07,3287.19,3318.48,24455.5367,2024-11-24 16:59:59.999000+00:00,81011960.15766,337324,13011.2971,43107605.513806
2024-11-24 17:00:00+00:00,3318.48,3319.65,3298.0,3309.61,14067.0571,2024-11-24 17:59:59.999000+00:00,46523936.704675,252385,6235.4089,20623090.601504
